,Date,User,Nickname,Tweet,URL
0,2022-10-09 10:36:09+00:00,foundinthedream,곽나물,"#몬베베가_몬베베에게_추천하는_맛집
📍합정 썬키친
✔️마라 볶음면
✔️닭허벅다리구이 https://t.co/YfsdJ5cL9F",https://twitter.com/foundinthedream/status/1579058127634190336
1,2022-10-08 11:26:31+00:00,HappytoDieP,향쪽..,"#몬베베가_몬베베에게_추천하는_맛집
#임창균_너는한끼뚝닭먹겠지

합정 썬키친
고등어덮밥하고 버팔로윙 (이거진짜앵간하면 다 맛이 비슷하다고 생각하는데 마싯음…) 진짜마싯다…. 트위터 맛집에 실망했던 언니 데리고 갔는데 대성공하다 !!!!!!!!!!!!!! 🤩💜💜 https://t.co/uKW4njIwUD",https://twitter.com/HappytoDieP/status/1578708414364274689
2,2022-10-01 08:02:33+00:00,imimgguggu,꾸꾸,"합정 썬키친 

꼬옥 … 꼬옥 …..먹어주면되 ….

고등어 덮밥 미쳐씀 사진엔 없지만 크림버섯리조또 ? 그것도 존맛임둥 🫠🍚
#몬베베가_몬베베에게_추천하는_맛집 
 #임창균_너는한끼뚝닭먹겠지 https://t.co/0jkU4ejlm7",https://twitter.com/imimgguggu/status/1576120367437209601
3,2022-09-24 15:43:22+00:00,egg1ife,🌊에라🫧,"오늘 제가 갔던 맛집 세 군데를 소개합니다(진실로오늘하루에다갔다옴)
비밀로하고 싶었는데 공개할게요🫣

📍홍대?신촌? 오시리야
📍신촌 호복
📍합정 아초바

#몬베베가_몬베베에게_추천하는_맛집 https://t.co/xne2E0zdLL",https://twitter.com/egg1ife/status/1573699623969263616
4,2022-09-19 03:04:21+00:00,momiizii,ෆ미지ෆ,"미지쨩은 포카를 좀 들고 다니시길...💤

📍건대 메이빌
양 많아서 남김

📍합정 피자네버슬립스
양 많아서 남김 2 

#대식가_유준이의_맛집태그
#아기빵_크림채워
#현이도_먹어봐
#몬베베가_몬베베에게_추천하는_맛집 https://t.co/xRWeb5c03W",https://twitter.com/momiizii/status/1571696670542528512
5,2022-09-18 10:26:10+00:00,jinjjwakkung,짝짜꿍 slow,"#몬베베가_몬베베에게_추천하는_맛집

합정 미삼 대새롤
합정 깊은 숲

대새롤 말해뭐해...진짜 미쳤습니다
그리고 깊은 숲 칵테일 맛있어요..분위기도 좋고, 시그니처 칵테일 시켜 마셨는데 넘 맛있었습니다 https://t.co/KpK6XYIk8C",https://twitter.com/jinjjwakkung/status/1571445470966452224
6,2022-09-13 11:18:19+00:00,mzzchee,칮,"📍합정 슬로우타코

대창플래터 존맛 'ڡ'
가운데 치즈가 시간이 지날수록 녹아서 
대창이랑 같이 먹어주면 아주 굿👍🏻
맛나게 잘 먹었습니다 ~(˘▾˘~)💕

#이서랑_둘이서
#채형원_너는세입도못먹겠지 https://t.co/SIlGhKWlZj",https://twitter.com/mzzchee/status/1569646653438820354
7,2022-09-12 07:34:41+00:00,goatmxh11,숙이,"📍합정 더한쭈꾸미
쭈삼 맛집 우동사리 꼭 추가해서 드세요 😋

#ㄷㅂㅇㅈ 
#몬베베가_몬베베에게_추천하는_맛집
#기현_너는맘마먹고다시시작하겠지
#하성운_오늘_꼭_먹어봐 
#성운아_식하하세요 https://t.co/XPbisjIvS0",https://twitter.com/goatmxh11/status/1569227986326667266
8,2022-09-04 10:31:04+00:00,beyuliyap,별이,"📍합정 세상끝의라멘
몬베베친구와 함께 왔더여
개인적으로 첫라멘이 더 맛있음!!
#정한아_마니머거여ㅎㅎ 
#아니에요_준휘는_먹을거에요
#임창균_너는한끼뚝닭먹겠지
#민혁_너는이미북마크해놨겠지 https://t.co/fAdjEOWHSQ",https://twitter.com/beyuliyap/status/1566373273423585280
9,2022-08-30 11:03:29+00:00,mio333_,cok!,"🍴합정 아로
단호박 뇨끼랑 안심 리조또랑 꼭 드셔보시길! ♡ 뇨끼 처음 먹어 보는 계정주는 홀딱 반했어요 다만 느끼한 거 잘 못 먹는 분들한테는 느끼할 거 같다는 느낌이... (저예요) 예약하고 가시는 걸 추천드리어요-♡

#먹어보세용_희희 
#현석아_이거_머거바니
#민혁_너는이미북마크해놨겠지 https://t.co/z8rH8jGYC2",https://twitter.com/mio333_/status/1564569491262312448
